State,Region,Sector,Energy_Source,Month,Year,Total_Consumption_GWh,Renewable,Import_Export,Quantity_GWh
Rajasthan,North,Residential,Nuclear,12,2024,108,No,Export,170
Karnataka,West,Residential,Solar,10,2023,2686,No,Export,112
Madhya Pradesh,Central,Industrial,Wind,10,2024,2664,No,Import,855
Gujarat,East,Industrial,Solar,4,2023,2664,Yes,Import,421
Rajasthan,South,Commercial,Solar,7,2023,4528,No,Export,795
Delhi,West,Commercial,Nuclear,2,2024,1461,No,Export,192
Uttar Pradesh,East,Industrial,Solar,3,2024,134,No,Export,426
Rajasthan,Central,Agriculture,Hydro,7,2023,1583,No,Import,125
Madhya Pradesh,North,Residential,Solar,7,2024,3847,Yes,Import,883
Gujarat,Central,Commercial,Oil,10,2023,2724,No,Export,408
Karnataka,South,Residential,Hydro,3,2024,2923,Yes,Export,966
Madhya Pradesh,West,Transport,Nuclear,12,2023,3170,No,Import,788
Madhya Pradesh,West,Industrial,Wind,1,2023,1140,No,Export,685
Uttar Pradesh,South,Agriculture,Biomass,12,2023,2884,No,Export,664
West Bengal,East,Transport,Oil,3,2023,4274,No,Import,446
Gujarat,East,Transport,Hydro,5,2023,2126,No,Import,327
Tamil Nadu,West,Transport,Wind,7,2024,3240,Yes,Import,825
Madhya Pradesh,West,Industrial,Wind,4,2024,4837,No,Import,615
West Bengal,North,Commercial,Hydro,11,2023,4278,No,Export,259
Tamil Nadu,East,Industrial,Nuclear,11,2023,1258,No,Import,920
Gujarat,South,Commercial,Coal,1,2024,3627,Yes,Export,456
Maharashtra,East,Transport,Wind,6,2024,4791,No,Export,506
Delhi,North,Transport,Wind,2,2024,2631,Yes,Export,352
West Bengal,West,Agriculture,Nuclear,12,2024,3837,No,Import,436
Andhra Pradesh,West,Commercial,Nuclear,3,2024,565,Yes,Import,827
Maharashtra,North,Transport,Solar,4,2023,2262,No,Export,837
Delhi,South,Residential,Nuclear,6,2023,3024,No,Export,249
Uttar Pradesh,West,Agriculture,Wind,6,2024,982,Yes,Import,68
Rajasthan,Central,Industrial,Hydro,7,2024,1713,No,Export,536
Karnataka,West,Agriculture,Coal,5,2024,606,No,Export,806
Andhra Pradesh,Central,Residential,Natural Gas,7,2024,1721,Yes,Export,212
Uttar Pradesh,North,Commercial,Solar,2,2024,1042,No,Export,758
Gujarat,North,Industrial,Natural Gas,1,2024,1678,Yes,Export,475
